"YEAR","JURISDICTION","LOCATION","AGE_GROUP","METRIC","DETECTION_METHOD","BEST_DETECTION_METHOD","NO_DRUGS_DETECTED","COUNT"
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Yes",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",4
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Yes",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",5
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Yes",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",7
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",3
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",3
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Yes",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","Yes",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",2
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","Unknown","positive_drug_tests","Laboratory or Toxicology (Stage 3)","Yes","No",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",11
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",7
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",7
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",6
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",5
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",5
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",5
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",5
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",4
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",3
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",2
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","65 and over","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","0-16","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","65 and over","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","17-25","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","40-64","positive_drug_tests","Not applicable","Yes","Not applicable",1
2023,"WA","Unknown","26-39","positive_drug_tests","Not applicable","Yes","Not applicable",1
